"","cve_entidad","desc_entidad","cve_municipio","desc_municipio","id_indicador","indicador","X2015","X2020"
"1","01","Aguascalientes","0","Estatal",6207019011,"Porcentaje de la población de 12 años y más soltera",36.8094,36.0314456904557
"2","01","Aguascalientes","001","Aguascalientes",6207019011,"Porcentaje de la población de 12 años y más soltera",37.377477,36.7014544830046
"3","01","Aguascalientes","002","Asientos",6207019011,"Porcentaje de la población de 12 años y más soltera",34.83903,33.9670303914164
"4","01","Aguascalientes","003","Calvillo",6207019011,"Porcentaje de la población de 12 años y más soltera",37.038965,35.3879137076243
"5","01","Aguascalientes","004","Cosío",6207019011,"Porcentaje de la población de 12 años y más soltera",33.708254,31.7706708268331
"6","01","Aguascalientes","005","Jesús María",6207019011,"Porcentaje de la población de 12 años y más soltera",36.10583,35.936523929471
"7","01","Aguascalientes","006","Pabellón de Arteaga",6207019011,"Porcentaje de la población de 12 años y más soltera",37.610774,36.9268965517241
"8","01","Aguascalientes","007","Rincón de Romos",6207019011,"Porcentaje de la población de 12 años y más soltera",36.316056,35.0432128963123
"9","01","Aguascalientes","008","San José de Gracia",6207019011,"Porcentaje de la población de 12 años y más soltera",34.736842,33.0220713073005
"10","01","Aguascalientes","009","Tepezalá",6207019011,"Porcentaje de la población de 12 años y más soltera",33.068219,32.2865438170291
"11","01","Aguascalientes","010","El Llano",6207019011,"Porcentaje de la población de 12 años y más soltera",34.129037,32.1052299539461
"12","01","Aguascalientes","011","San Francisco de los Romo",6207019011,"Porcentaje de la población de 12 años y más soltera",32.934239,32.1135979265962
"13","02","Baja California","0","Estatal",6207019011,"Porcentaje de la población de 12 años y más soltera",34.886026,35.3540829158007
"14","02","Baja California","001","Ensenada",6207019011,"Porcentaje de la población de 12 años y más soltera",33.238315,35.0226587566336
"15","02","Baja California","002","Mexicali",6207019011,"Porcentaje de la población de 12 años y más soltera",35.003174,35.3764460940457
"16","02","Baja California","003","Tecate",6207019011,"Porcentaje de la población de 12 años y más soltera",33.500131,35.2322065877111
"17","02","Baja California","004","Tijuana",6207019011,"Porcentaje de la población de 12 años y más soltera",35.420772,35.6548120033666
"18","02","Baja California","005","Playas de Rosarito",6207019011,"Porcentaje de la población de 12 años y más soltera",34.362292,34.6455476144485
"19","02","Baja California","006","San Quintín",6207019011,"Porcentaje de la población de 12 años y más soltera",NA,32.1106338492307
"20","03","Baja California Sur","0","Estatal",6207019011,"Porcentaje de la población de 12 años y más soltera",32.872449,33.4789485576561
"21","03","Baja California Sur","001","Comondú",6207019011,"Porcentaje de la población de 12 años y más soltera",31.526656,31.7207033235085
"22","03","Baja California Sur","002","Mulegé",6207019011,"Porcentaje de la población de 12 años y más soltera",29.780074,30.3534800358459
"23","03","Baja California Sur","003","La Paz",6207019011,"Porcentaje de la población de 12 años y más soltera",33.971085,34.8257280202088
"24","03","Baja California Sur","008","Los Cabos",6207019011,"Porcentaje de la población de 12 años y más soltera",33.052864,33.4130889611127
